60000 100
37197 51176 553
22593 45200 165
24606 55905 274
36981 51360 423
45681 47030 594
45375 58151 642
5041 42136 408
1551 27628 539
20791 35776 408
32844 49947 151
44035 59088 568
9820 34022 910
43110 49561 889
678 32777 550
11654 16564 97
33695 49528 877
363 37372 565
32091 37144 397
7124 10747 439
42786 49514 959
9617 48616 77
11800 55210 358
21120 35514 823
46456 51786 338
29265 43407 407
4848 41199 308
6568 49084 832
33367 44203 632
10559 11381 678
22567 32696 812
24646 55686 217
9840 25967 640
31570 32396 316
22030 29720 938
20935 56033 133
56219 59892 706
59830 59883 976
33580 42012 676
4684 32267 736
44295 44715 583
50129 51211 403
47739 55915 362
25232 36620 552
11176 18875 188
38296 48196 534
14008 15131 665
40406 56729 542
42508 56592 565
41510 57637 700
24588 47606 264
25052 60000 341
12790 38515 411
47293 48768 200
50308 51327 757
35862 55862 845
11418 25136 558
34018 53544 841
23266 45665 817
39115 55845 432
23872 58316 328
50932 54742 821
22475 41058 911
12991 37291 562
7265 36956 427
1879 14150 712
47577 52427 365
42675 53777 552
36205 40762 93
21502 53743 943
41600 46318 493
55602 57336 409
50267 59779 810
43495 55595 935
27403 28019 423
31075 35053 160
35460 36227 260
5393 43451 338
5798 19448 463
17631 57365 269
1172 54520 97
12818 41439 79
9488 35942 186
37384 52919 528
547 34484 677
3201 55576 70
6200 56670 828
55616 58396 133
21635 25024 66
41488 52918 304
15496 29839 972
50014 56740 686
52206 59821 544
14341 21157 936
25201 30730 217
57158 57353 388
42753 51514 187
18737 50429 501
43813 57571 191
39092 43282 383
35764 36118 956
