40 100000
38 38 763
5 22 506
7 19 748
39 39 5
16 30 291
29 29 650
23 32 342
5 31 250
36 40 317
6 31 880
40 40 890
16 27 35
16 39 860
15 33 466
32 32 966
40 40 362
11 32 673
15 25 707
17 29 454
13 40 786
3 16 14
34 36 257
34 40 498
2 35 213
37 40 190
14 25 108
12 26 660
39 40 443
19 36 880
28 28 59
18 38 895
27 31 729
5 28 454
40 40 103
19 35 324
7 25 392
27 28 946
2 10 467
36 36 522
1 15 496
36 37 398
23 36 673
19 20 752
3 21 583
28 31 179
4 24 921
30 38 247
7 19 23
1 29 64
36 37 985
38 38 105
1 35 954
10 15 101
18 25 888
23 24 507
17 23 220
30 30 222
12 36 264
33 39 517
27 39 660
34 37 144
11 37 28
4 9 204
39 40 244
12 13 329
24 33 407
11 30 309
9 10 350
3 33 623
28 31 438
4 24 196
25 25 293
5 22 873
30 38 721
32 37 650
18 32 117
21 31 52
19 27 687
39 39 38
31 37 652
39 39 595
5 18 155
32 34 491
4 23 45
6 20 797
28 34 803
33 37 656
25 38 443
27 28 737
7 39 398
32 33 680
4 37 255
13 24 247
17 29 678
6 10 190
20 29 918
4 19 655
31 35 39
36 38 148
13 40 529
9 31 30
35 40 722
19 21 588
6 24 818
13 29 636
32 32 757
7 21 553
4 6 392
30 36 214
13 17 518
13 28 565
17 38 15
22 34 995
4 37 482
32 32 542
8 26 896
13 27 130
28 31 482
6 13 209
32 35 836
7 24 316
38 39 265
4 9 386
21 28 639
6 10 87
8 17 574
4 40 791
11 38 102
1 2 278
28 37 500
5 32 918
28 28 712
28 33 132
36 39 19
28 38 150
19 38 711
27 34 168
15 30 595
31 34 701
11 24 715
31 34 959
12 34 233
12 26 716
35 38 303
34 38 211
16 21 252
26 29 138
2 36 654
26 34 187
15 23 203
37 40 689
6 15 575
26 37 221
37 39 824
29 32 796
12 18 660
38 39 668
13 16 512
5 21 536
38 40 797
30 35 177
30 30 425
20 35 406
3 11 526
20 39 831
3 28 317
28 30 43
1 33 801
33 36 727
5 13 204
17 38 354
10 30 705
8 40 631
13 14 584
5 30 904
14 24 542
38 39 669
9 37 356
34 40 75
5 25 765
11 28 375
29 33 990
19 24 524
32 34 44
31 35 837
36 36 53
14 17 643
40 40 309
5 32 709
23 33 594
14 27 53
21 28 655
39 40 166
4 25 258
28 35 895
6 12 268
31 33 272
14 17 727
18 28 840
40 40 425
27 33 941
32 36 94
10 28 762
15 19 903
1 27 523
10 35 368
19 34 118
22 31 802
23 29 275
21 40 116
30 31 677
22 40 77
30 39 416
26 37 614
4 8 966
27 36 854
24 35 14
5 23 182
7 23 37
21 27 216
21 29 47
8 33 357
24 33 381
20 36 329
27 38 420
33 40 994
19 38 504
37 38 901
24 24 175
23 27 339
2 13 142
19 29 342
15 37 807
21 31 582
25 29 991
11 28 713
2 22 690
11 39 419
15 16 231
1 29 532
33 34 114
22 37 29
24 34 259
32 40 739
9 32 36
27 35 85
10 23 703
11 18 447
28 35 735
19 24 320
39 39 419
18 37 873
3 18 927
12 16 248
28 35 355
2 31 480
2 38 871
31 38 833
2 37 563
10 35 509
2 37 551
25 25 641
36 37 230
30 34 203
16 39 630
14 14 782
4 8 743
22 24 713
7 40 906
3 10 387
1 2 954
10 25 268
39 39 604
3 34 336
20 27 551
29 40 140
27 27 827
36 39 860
31 37 149
37 37 860
39 39 123
25 29 801
17 39 503
10 12 929
13 32 220
8 17 253
13 31 802
21 37 228
37 38 834
16 33 131
38 38 473
35 35 167
36 36 227
20 31 592
2 38 383
17 18 397
30 36 836
38 39 884
35 37 521
14 37 58
36 40 274
5 20 382
38 40 693
3 34 450
33 33 714
16 37 789
7 38 929
27 27 713
17 32 155
25 28 532
22 37 133
27 27 100
7 10 406
17 24 410
13 19 387
16 35 394
33 38 124
35 40 168
24 40 678
18 31 560
29 35 531
27 32 324
26 36 810
29 34 743
35 36 773
21 25 347
7 26 371
39 39 175
34 40 5
30 33 722
22 31 554
2 16 118
5 22 217
2 7 860
4 12 608
2 30 645
19 39 169
1 23 551
25 27 942
13 16 504
11 27 375
32 38 525
9 28 43
31 38 836
33 40 947
8 11 55
30 31 851
1 38 767
24 33 778
37 38 256
7 30 645
22 35 35
28 35 614
31 36 166
18 33 52
27 29 250
12 37 496
16 34 100
28 30 190
35 40 312
2 20 610
3 18 956
27 31 230
2 33 142
37 40 462
24 35 75
12 26 969
30 33 392
30 30 660
7 27 457
29 40 278
4 20 535
19 24 973
37 37 330
36 36 67
39 40 524
4 17 499
38 38 237
9 11 264
12 16 634
38 39 944
20 31 919
8 9 765
29 29 561
1 23 394
34 37 881
38 39 631
21 33 652
40 40 616
11 33 867
19 31 961
37 38 308
6 28 384
20 35 456
34 36 287
14 16 626
16 32 127
19 31 677
33 33 200
37 38 989
6 22 549
3 40 153
22 26 18
3 29 884
27 39 825
35 36 249
38 38 806
7 16 971
38 39 323
37 37 433
9 19 813
29 38 641
11 37 856
29 32 740
4 16 931
21 25 107
13 32 846
10 18 933
5 10 213
32 37 376
5 6 353
18 26 361
11 19 36
19 33 971
28 34 887
39 39 594
39 40 800
27 27 905
21 24 565
8 18 354
16 19 74
6 15 760
16 27 691
18 21 578
9 18 668
1 33 14
17 25 460
24 32 286
8 36 837
29 32 919
19 40 403
24 26 850
22 31 212
37 38 102
28 28 408
27 28 567
27 33 992
36 40 726
38 40 153
17 25 943
8 20 567
28 39 679
23 31 366
5 22 746
25 36 36
5 12 493
35 37 181
30 36 839
31 31 146
33 35 750
33 39 487
40 40 277
7 26 721
13 17 429
13 25 142
7 16 431
12 34 294
9 39 719
39 40 736
33 36 915
30 34 175
25 38 472
36 39 67
16 16 713
24 39 52
38 40 998
5 40 154
4 39 382
38 40 461
27 36 590
3 33 403
9 39 666
18 21 698
3 14 906
10 32 893
13 34 279
3 24 352
36 38 436
25 35 532
28 32 872
19 36 462
20 21 988
36 39 948
15 26 887
27 35 387
16 34 897
3 36 934
15 25 253
39 39 910
24 37 900
25 35 699
14 14 914
8 18 139
20 37 701
17 23 167
7 39 161
29 40 437
25 29 404
11 37 481
24 27 236
40 40 233
19 20 285
16 38 113
28 40 554
4 35 758
4 9 505
12 35 790
27 36 130
20 36 340
29 35 803
30 35 41
35 37 234
32 36 971
38 40 819
22 25 913
13 18 241
8 28 312
30 37 643
24 34 847
25 25 907
39 40 4
39 40 144
38 40 180
17 27 997
13 32 557
37 40 235
13 39 479
11 27 722
18 28 474
3 5 736
22 34 558
33 37 335
28 29 832
13 33 736
36 36 758
21 27 311
20 35 664
11 33 202
2 38 972
10 23 963
30 35 139
32 33 285
13 33 36
7 30 100
4 32 789
17 38 658
3 14 408
23 28 118
17 34 364
22 26 963
28 40 998
2 28 385
21 39 89
24 34 915
21 39 971
1 32 514
13 30 546
17 25 594
26 27 439
16 26 200
9 14 507
21 24 682
32 35 237
11 39 884
28 31 200
8 36 133
35 37 206
3 32 615
34 37 89
12 21 66
34 37 366
29 30 174
24 36 12
7 35 61
24 40 442
27 35 520
25 29 295
17 37 434
40 40 95
15 34 680
29 33 179
34 36 628
22 27 331
28 28 361
24 36 375
16 40 389
37 37 200
40 40 132
37 37 943
36 40 983
28 33 892
20 39 980
4 39 291
28 35 630
2 13 313
30 32 716
4 19 371
11 23 375
33 35 770
11 39 664
17 38 519
25 37 635
37 39 639
1 24 138
22 38 806
18 40 832
26 33 809
38 38 658
38 38 859
24 24 890
25 28 326
29 32 852
23 37 357
1 29 632
24 32 429
13 22 246
6 39 945
31 38 805
21 24 257
26 37 922
14 30 237
37 40 551
1 32 221
21 34 612
2 30 951
12 35 583
35 39 549
28 31 925
17 17 154
36 37 277
14 33 267
27 39 411
15 36 64
18 28 35
17 30 195
9 16 306
11 38 508
15 32 180
17 37 399
14 31 300
22 29 547
32 39 196
24 36 934
7 12 420
20 38 347
22 25 532
10 12 239
36 40 629
39 39 464
38 40 666
16 30 658
14 31 793
36 37 471
7 28 353
3 39 976
28 31 253
30 31 506
21 29 305
38 38 261
30 31 290
27 38 109
4 12 52
26 35 418
28 34 138
30 39 482
10 27 544
31 39 167
15 20 123
23 30 835
22 32 779
12 15 982
12 26 673
16 32 479
33 34 458
4 27 449
2 4 242
34 37 781
39 39 188
34 35 572
9 15 733
21 34 490
11 19 400
18 38 815
20 33 355
16 25 715
7 13 952
2 7 499
13 27 35
40 40 621
17 22 204
3 31 977
35 38 559
2 16 595
40 40 147
12 19 726
21 33 12
15 22 729
36 40 534
38 39 655
27 38 359
24 35 465
17 25 205
15 22 679
2 15 811
21 28 844
24 27 493
36 37 280
37 39 511
22 40 772
12 14 850
26 30 356
4 18 928
31 39 145
15 21 564
13 23 290
29 38 675
30 39 412
7 36 382
27 39 856
29 29 519
14 14 557
15 24 850
14 30 998
29 37 682
29 32 50
29 34 975
20 37 150
29 31 108
32 33 810
1 7 14
21 34 760
29 32 474
27 33 529
23 27 464
1 30 382
21 38 46
3 11 349
24 26 850
20 36 601
25 40 788
28 28 534
1 1 748
23 35 935
32 33 744
16 22 718
15 21 929
19 21 515
16 38 440
20 33 428
28 36 740
28 40 959
31 33 930
29 39 251
9 27 37
29 33 521
37 38 308
25 30 775
33 37 796
13 17 255
39 40 809
22 22 515
9 12 138
36 38 699
38 39 194
39 39 816
4 30 925
37 37 95
21 28 310
32 32 507
23 29 733
25 27 454
10 33 868
18 37 164
21 38 407
10 40 728
38 38 132
18 36 424
11 12 679
8 34 928
35 35 413
31 38 87
40 40 32
33 33 771
34 37 485
5 9 581
27 39 658
39 39 7
24 36 75
31 34 219
15 32 993
5 32 644
39 40 846
30 30 735
2 12 961
25 27 134
14 28 791
6 14 284
21 31 547
28 40 101
32 34 806
15 17 969
33 34 618
14 29 836
18 39 863
32 40 314
34 34 134
7 16 526
16 30 597
25 35 925
34 37 489
18 18 973
14 22 722
19 31 674
12 15 965
21 30 851
34 40 689
17 26 820
9 32 936
24 40 370
26 35 787
20 39 617
9 26 915
4 11 828
4 14 235
26 38 445
8 16 1000
3 5 478
4 30 271
4 30 712
13 13 72
10 25 316
39 40 77
1 30 562
3 6 34
3 32 825
5 6 492
40 40 721
5 19 97
34 40 755
1 24 558
26 39 613
35 35 828
4 5 120
34 40 226
28 31 573
20 37 402
23 39 638
28 39 392
27 39 717
31 39 17
9 11 682
25 27 722
30 30 548
1 35 128
29 34 395
14 33 988
28 40 642
12 37 875
20 30 756
28 37 323
33 37 951
9 24 685
10 15 470
28 34 926
21 21 127
17 27 935
12 14 515
4 4 142
40 40 654
2 18 485
34 37 448
4 35 123
33 34 305
8 34 843
5 13 110
19 35 265
34 39 449
20 34 583
4 34 613
40 40 230
37 40 561
